employee_id,company,department,age,age_when_joined,years_in_the_company,salary,annual_bonus,prior_years_experience,full_time,part_time,Gender,education_level,ethnicity,diversity_flag,Position
E00001,FinServe,Customer Support,41,38,3,68074.97135,17664.1041,3,0,0,Female,PhD,Black or African American,No,Mid Level
E00002,RetailHub,Customer Support,44,42,2,49092.14746,21551.14108,2,0,0.184991313,Non Binary,Master's Degree,Black or African American,Yes,Senior
E00003,EduSoft,Engineering,41,40,1,40000,23698.87885,2,0,0.919887148,Non Binary,Master's Degree,Prefer not to say,Yes,Mid Level
E00004,RetailHub,Finance,39,32,7,108192.4655,21570.92966,1,0.930395974,0.546205897,Male,Master's Degree,White,No,Senior
E00005,RetailHub,Marketing,30,22,9,71291.19113,21565.50572,2,0.525431946,0.938412489,Male,Bachelor's Degree,Prefer not to say,No,Senior
E00006,HealthInc,Marketing,30,22,7,64959.78673,24792.91,2,0,0.695893563,Transgender,PhD,Black or African American,No,Executive
E00007,EduSoft,Finance,30,22,7,82031.52506,24792.91,1,0.661900119,0.399304846,Male,Associate Degree,Hispanic or Latino,No,Executive
E00008,EduSoft,Finance,35,30,5,40863.1099,9660.533707,4,0.101531435,0.381797748,Transgender,Bachelor's Degree,Hispanic or Latino,No,Senior
E00009,EduSoft,Finance,49,36,9,54725.12654,21663.42798,1,0.034129274,1,Female,Master's Degree,White,Yes,Executive
E00010,RetailHub,Sales,49,48,1,101687.7564,13825.94401,4,0.665749173,0,Male,High School,Black or African American,No,Senior
E00011,FinServe,Marketing,36,24,9,75125.0531,16767.95195,3,0.356281462,1,Transgender,Bachelor's Degree,Prefer not to say,No,Entry Level
E00012,EduSoft,Customer Support,45,40,5,84374.00043,17923.82929,2,0.17275196,0.447375965,Female,Bachelor's Degree,Other,No,Entry Level
E00013,RetailHub,Marketing,45,40,5,57256.1458,12033.81761,2,0,0.206175331,Transgender,PhD,Other,No,Senior
E00014,HealthInc,Sales,38,35,4,123662.8408,24792.91,1,0.49831948,0,Non Binary,Bachelor's Degree,Other,No,Entry Level
E00015,FinServe,Finance,36,29,7,106540.1545,12360.71793,5,1,0.178923742,Transgender,PhD,Hispanic or Latino,No,Executive
E00016,HealthInc,Engineering,31,24,7,48941.6334,23767.17534,1,0,0.555317065,Transgender,High School,Prefer not to say,No,Senior
E00017,FinServe,Finance,45,42,3,40000,15230.54691,3,0,1,Transgender,Associate Degree,Other,No,Executive
E00018,RetailHub,Finance,34,31,2,40000,24792.91,1,0,0.840729689,Transgender,Associate Degree,Black or African American,No,Entry Level
E00019,TechCorp,Sales,38,34,5,68196.88887,18198.86656,3,0.058019666,0.481599554,Female,Master's Degree,Black or African American,No,Senior
E00020,FinServe,Marketing,34,33,1,115645.6338,23661.83841,2,0.853299719,0,Female,Master's Degree,Other,Yes,Mid Level
E00021,HealthInc,Finance,30,22,7,138211.8841,17563.34903,3,0.950701829,0.101903099,Male,High School,Asian,No,Executive
E00022,RetailHub,Marketing,44,40,4,153000,24792.91,1,0.767666518,0.727030918,Non Binary,Associate Degree,Other,No,Executive
E00023,FinServe,HR,41,38,3,85850.61192,20306.75664,3,0.050718585,0.946419417,Non Binary,Master's Degree,Asian,Yes,Entry Level
E00024,TechCorp,Customer Support,35,26,9,66542.9596,24792.91,1,0,1,Female,Bachelor's Degree,White,No,Senior
E00025,TechCorp,Marketing,40,39,1,89401.36522,14636.83277,3,0.438441805,0,Female,PhD,White,No,Senior
E00026,EduSoft,Engineering,41,38,2,45963.96145,17807.97705,2,0.121798058,0.026019831,Male,Master's Degree,Black or African American,Yes,Entry Level
E00027,EduSoft,Customer Support,42,38,4,84410.50319,22072.74522,2,0.021486408,0.531175012,Non Binary,High School,Prefer not to say,Yes,Mid Level
E00028,HealthInc,Engineering,48,45,3,76472.43419,13060.17708,2,0,0.300298708,Male,Associate Degree,Hispanic or Latino,No,Entry Level
